"page_name","funding_entity"
"Paradee For State Senate","Committee To Elect Paradee"
"League of Women Voters of the Bozeman Area","Bozeman Area League Of Women Voters"
"Firearms Policy Coalition","Firearms Policy Coalition"
"Dawn Myers For Anne Arundel County Council, District 5","Friends of Dawn Myers, Cynthia Dooley Treasurer"
"Animal Legal Defense Fund",NA
"Senator Scott Cyrway","Cryway for Senate. "
"Rockland Report",NA
"Scott Frantz for State Senate",NA
"Dave Cravens for Indiana Senate District 26","Cravens for Senate 2018 "
"Friends of Labor",NA
"Don Huffines","Don Huffines for Texas Senate"
"Pass Christian Democratic Coalition",NA
"Scott County Democrats","The Scott County Democratic Party"
"Kriss Marion for Wisconsin State Senate","Kriss Marion for SW Wisconsin"
"Julie Williams for Macomb County Clerk","CTE Julie Williams PO Box 202, Mt.Clemens, MI 48043"
"Elect Michael ""Mike"" Sobel for Mayor of Pompano Beach","Political advertisement paid for and approved by Michael “Mike” Sobel for Mayor of Pompano Beach, non-partisan election."
"Will Robinson","Will Robinson, Republican, for State Representative"
"Rep. Scott Plakon","and approved by Scott Plakon, Republican, for State Representative, District 29."
"Scott Hopes for School Board","Scott Hopes for Manatee County School Board, District 4"
"Florida Department of Economic Opportunity",NA
"Scott Costello for County Commission","Scott Costello, No Party Affiliation, for Alachua County Commission District 2"
"Betsy Vaughn for Lee County School Board District 6","Betsy Vaughn for Lee County School Board District 6 At-Large"
"Florida Policy Institute","Florida Policy Institute"
"Amy Lockhart","Amy Lockhart, Republican, for Seminole County Commission."
"Len Seligman",NA
"Alan Scott Band","Paul Mahon"
"Scott Thomason for Columbia County Commission District 2","Scott Thomason for Columbia County Commission District 2"
"Greater Pensacola Chamber","the Pensacola Chamber"
"BLU-PAC","Business Leaders United for Boca Raton PC Pursuant to section 106.087(2)(a), Florida Statutes. 1800 North Dixie Highway, Boca Raton, 33432 Not approved by any candidate"
"Brad Bichler for Sheriff","Bichler for Sheriff Campaign 70 Lake Dr Livingston,MT Paige Bichler, treasurer "
"Sarah Hays for District Judge","Committee to Elect Sarah Hays "
"David M. Singer Village of Palmetto Bay Florida Councilman","David Singer Palmetto Bay Council Seat 2"
"La Voz Hispana de Broward","Gil Montalvo jr."
"Florida Legal Services, Inc.","Florida Legal Services, Inc. "
"Jodi Carpenter, Millennium Properties 360 powered by KW Diamond Partners",NA
"Maine Voter Info","Maine Democratic Party"
"Jared Carpenter","Carpenter For Senate "
"Susan Byrne Haddix for KY Senate",NA
"John Curran for State Senate","Friends of John Curran"
"Jessica Douglass for State Senate, Maryland District 4","Friends of Jessica Douglass; Treasurer, Rebecca Smith"
"Hillary Shields","Shields for State Senate, Carmen Nolke, Treasurer"
"Reelect Senator Curtis Hertel Jr.","Curtis Hertel Jr. For State Senate | PO BOX 16037 Lansing, MI 48901"
"Gary Snyder for State Senate","Friends of Gary"
"Colin Schmitt","Colin Schmitt for State Assembly"
"Marty Lemert 4 State Rep","Marty Lemert for State Representative"
"Sue Hatfield for CT Attorney General","Hatfield 2018. Loretta Chory, Treasurer. Approved by Susan Hatfield. "
"Indiana Democratic Party","the Indiana Democratic Party. Not authorized by a candidate or candidate's committee. "
"Ripley County Indiana Democrats","Ripley County Democrats"
"Hancock County Indiana Democrats","Hancock County Democratic Party"
"Patrick O'Connor","Senator Patrick O'Connor"
"Howard County Democratic Party","Howard County Democratic Party"
"Hoosier Horizon","Hoosier Horizon"
"National Shooting Sports Foundation | NSSF","National Shooting Sports Foundation"
"Americans for Prosperity - Indiana","Americans for Prosperity"
"CatholicVote","CatholicVote"
"Human Rights Campaign","Human Rights Campaign"
"FISH - Fishable Indiana Streams for Hoosiers",NA
"Indiana/Kentucky/Ohio Regional Council of Carpenters","Indiana Kentucky Ohio Regional Council of Carpenters"
"Piper for Senate","John Piper"
"Queen for NC House","The Committee to Elect Eric Queen"
"The Progressive Voice","The Progressive Voice, a non-profit publication created for the furtherance of progressive causes and giving a voice to those underserved by our institutions and society writ large"
"Great Lakes Center for the Arts",NA
"Miss America's Ugly Daughter",NA
"Altman IN U.S. Senate","Altman IN U.S. Senate"
"Sande Updegraph - Candidate for Town Council","Sande for Council Committee' Charles Updegraph Treasurer"
"James Hsiang Hong/ Hsiang-chih Hung/ ???",NA
"Cat's Cradle",NA
"Janene Yazzie for NM",NA
"Lauren Davis","Elect Lauren Davis | PO Box 9100 | Seattle WA 98109"
"Savio for Senate","Savio for Senate"
"Thompson For House District 92","Thompson For House District 92"
"Jen Mangrum for NC Senate","Jen Magrum for NC Senate"
"Mark Miloscia for State Senate","Miloscia Committee  30720 19th Ave S Federal Way WA 98003 "
"Jeff Pravato for Senate","Pravato for New York"
"Leah Aldridge for State Senate","Leah Aldridge for State Senate"
"Adam VanHo for Ohio Senate","VanHo for Ohio"
"Marc King for LD15 Maryland","Citizens for Lt.Col. Marc King LD15"
"Claire for Senate","Claire Wilson for Senate"
"Vote Lauren Lareau","Vote Lauren Lareau"
"Ken King","Ken King for State Representative"
"Senator Jeff Woodburn","Woodburn for Senate"
"Dan Harder for State Senate","Dan Harder for 43rd LD"
"Senator Steve Waugh","Friends of Steve Waugh"
"Jo Comerford for State Senate","the Committee to Elect Jo Comerford"
"Carla Gericke for NH State Senate","Carla Gericke for NH Senate"
"WINCLAIR","WINCLAIR™"
"Facing Addiction with NCADD","Facing Addiction with NCADD"
"Lois Schipper for State Senate","Lois Schipper for State Senate"
"Elect Justin King","Campaign to Elect Justin King"
"South King County Deserves Better","South King County Deserves Better"
"Elect Justin King","Committee To Elect Justin King"
"Family Farm Action","Family Farm Action"
"Geoff Gratwick for Maine Senate, District 9, Bangor & Hermon","The Committee to Elect Geoff Gratwick, Tabitha King, Treasurer"
"Drew John AZ LD14 Legislator","Drew John for State Senate"
"Sangamon County Republicans","The Sangamon County Republican Central Committee"
"Marc D'Amelio for State Senate","D'Amelio for Senate, Bryan Meek, Treasurer. Approved by Marc D’Amelio."
"Maryland Senate Democrats","and Authorized by Maryland Democratic Senate Caucus Committee; Patricia L. Horton, Treasurer"
"Zach Whiting for Iowa Senate",NA
"Donnie Chesteen for State Senate","Donnie Chesteen for State Senate"
"Pete von Reichbauer, King County Councilmember.","King County Councilmember Pete von Reichbauer"
"Treacy Levine Center","Treacy Levine Center"
"Chad Magendanz","Citizens for Chad Magendanz"
"Ed Klapproth: for Godly Government","William Hols"
"Deanna Frazier for State Representative","Deanna Frazier for State Representative"
"Emerge Maine","Emerge Maine"
"William Weatherby","Weatherby for District 37, PO Box 611, King Salmon, AK. 99613"
"Elect Justin King",NA
"Maureen Skinner for Arkansas Senate","Skinner for Arkansas Senate"
"Elliott Adams - Kansas Candidate for US Senate 2020",NA
"The Nature Conservancy","The Nature Conservancy"
"Maine Conservation Voters","Maine Conservation Voters"
"Brian Kresge for Maine's 98th District","Kresge for 98"
"Sam for MA Senate",NA
"Antonacci for the People","New York State Senate Republican Campaign Committee"
"People For the American Way","People For the American Way"
"John McKay for City Council","John McKay for Morgan Hill City Council 2018"
"Jon Comstock for Arkansas Senate","Comstock  for Senate"
"LETNetworks, a Latin é Channel","Michael B. Puskar for US Senate 2018 - Maryland"
"Pam Luby for Delegate - D33 Maryland","Friends of Pamela Luby - Melissa G. Stanton, Treasurer"
"Friends for Matt Crisafulli","Friends for Matt Crisafulli- Amy Jo Titanski, Treasurer"
"Guy Smoak MD for State Representative","Committee to elect Guy Smoak, Brian Mason, Treasurer"
"Monthly Review","Monthly Review Foundation"
"Friends for Matt Crisafulli",NA
"Donovan 4 NH Senate","Friends of Mason Donovan"
"Family Friendly PAC","Family Friendly PAC"
"Mike Oliverio for Senate","Friends of Mike Oliverio"
"Promote  District JUDGE Suzanne Geddis to Circuit JUDGE","Committee to Promote L Suzanne Geddis to 44th Circuit Court Judge, 123 Mason Rd, Howell, MI 48843"
"Shawn Moody","Shawn Moody for Governor"
"Great Falls Group Sierra Club Virginia","Sierra Club, Great Falls Group"
"PHENOM (Public Higher Education Network of Massachusetts)","PHENOM"
"Elect Jessa Lewis","Friends of Jessa Lewis"
"Kevin Avard for NH State Senate","Avard for Senate"
"Ray Franz for State Senate","Ray Franz for State Senate.  P.O. Box 25  Onekama, MI  49675"
"Laborers Building a Better New York","Laborers Building a Better New York"
"Bud Estes for Senate",NA
"Jeff Timberlake for Maine Senate","Jeff Timberlake - Michelle Brown, Treasurer."
"Autumn Burke","Autumn Burke for Assembly 2018"
"Maryland State Education Association","the Maryland State Education Association"
"Gunston Hall","the Board of Regents of George Mason's Gunston Hall"
"Dr. Donna Campbell","Friends of Donna Campbell"
"Retain Judge Kahler","Retain Judge Kahler"
"CanadaVisa.com - Campbell Cohen Canadian Immigration Law Firm",NA
"Haynes For Wyoming","Friends of Taylor Haynes M.D."
"Campbell For NC Senate","the North Carolina Democratic Party and Campbell for NC Senate."
"Greenbrier County Republican Club and Executive Committee","Greenbrier County Republican Club"
"Campbell For NC Senate",NA
"Daphne Campbell","Daphne Campbell For State Senate, District 38 "
"Johnny Mack Morrow For State Senate","Johnny Mack Morrow Senate Campaign"
"Campbell For NC Senate","the North Carolina Democratic Party. Authorized by Campbell for North Carolina Senate"
"Jason Pizzo for Florida State Senate, District 38","Jason Pizzo, Democrat for Florida Senate District 38"
"Matthew Kerner","The Candidate"
"Daphne Campbell",NA
"Daphne Campbell's Ugly Truth","Sunshine State LLC"
"Steven Kling for Texas Senate",NA
"Greater Lafayette Indivisible","Greater Lafayette Indivisible"
"The Christian Left","The Christian Left"
"Wil Schroder Kentucky State Senator","Wil Schroder for State Senate"
"Greg Lavelle","Citizens for Lavelle"
"AARP Maryland","AARP Maryland"
"NARAL Pro-Choice Maryland","NARAL Pro-Choice Maryland"
"Grigorian for Senate",NA
"Jon Cardin","Elect Cardin, Steven M. Gelblum, Treasurer"
"Herb McMillan for Delegate","Friends of Herb McMillan, Pete Edmondo Treasurer"
"PASA Primates: Pan African Sanctuary Alliance","PASA (Pan African Sanctuary Alliance)"
"PASA Primates: Pan African Sanctuary Alliance",NA
"Marty Golden for NYS Senate","Friends of Marty Golden"
"Simon Minching for State Senate","Friends of Simon Minching"
"Dustin Tanner for State Senate","Dustin Tanner for Senate "
"Gee for Senate 35","Friends of Dana Gee"
"Jake Chapman","Chapman for Senate"
"Simon Minching for State Senate","New York State Senate Republican Campaign Committee"
"Atlanta Pride Committee",NA
"Paul Pate for Iowa","PATE FOR IOWA"
"Amesbury Democrats","The Amesbury Democratic City Committee"
"Watson Institute for International and Public Affairs","Watson Institute for International and Public Affairs"
"West Roxbury and Roslindale Republicans","Boston Ward 20 Republican Committee"
"Andrew Surprise","Surprise CTE"
"Feng Shui Sushi & Dumplings","Feng Shui Restaurant"
"March For Our Lives: Boston","March for Our Lives: Boston "
"Craig Miner Candidate for Senate 30th District","Craig Miner for Senate, James Rocco Treasurer. Approved by Craig Miner"
"Laura Cox","Laura Cox for State Senate"
"Warren County Republican Committee","Warren County Republican Committee"
"Citizens for a Strong District 7","the Ohio Association of Realtors Political Advocacy Fund (OAR-PAF) and not authorized by any candidate or candidate committee."
"State Employees Association of North Carolina","State Employees Association of North Carolina"
"Mike Wilson For Kentucky State Senate","Mike Wilson for State Senate"
"William Sweeney for State Representative","Committee to Elect William J Sweeney"
"Rep Warren Van Wyck VT","Van Wyck for Representative Committee, Treas. Eric Visser, Panton Road, Panton, Vermont 05491"
"Common Ground Committee","Common Ground Committee"
"Virginia For Warren","Cain Turner"
"Paul Wojno for State Senate District 9",NA
"Traughber for KY Senate",NA
"Hines For State Senate","Friends of Jordan Hines "
"Ryan Marquardt for Iowa House","Citizens for Marquardt"
"Amaad Rivera For State Senate","Committee to Elect Amaad Rivera"
"Bill Bolton for Senate","Bill Bolton for Senate"
"Susan Funk for City Council","Funk for City Council 2018"
"Bedford County Pa Democratic Party","Bedford County Democrats"
"Harriet Hageman","The Committee to Elect Hageman for Governor "
"Senator Betty Little","Friends of Betty Little"
"Calvary Lutheran Church Mount Airy, MD","Calvary Lutheran Church"
"Picador USA","Picador USA"
"Segun Idowu","The Idowu Committee"
"Dan Shores for Attorney General of Massachusetts","The Shores Committee"
"Joe Biden","American Possibilities, not authorized by any candidate or candidate’s committee"
"Ron Draayer for State Representative","Committee to Elect Ron Draayer"
"Kent County GOP","the Kent County Republican Committee"
"America Fighting Back PAC","America Fighting Back PAC"
"Judge Gregg Iddings","Committee to Reelect Probate Court Judge Gregg Iddings "
"David Barberi For Prosecutor",NA
"Nicole George for Metro Council 21","Nicole George for Metro Council 21"
"Executive Warren C. Evans","Wayne County"
"Kansas Appleseed","Kansas Appleseed"
"Michigan Coalition for Responsible Gun Owners","Michigan Coalition for Responsible Gun Owners"
"St. Clair County Democrats","St. Clair County Democrats"
"Brian Strickland for Georgia",NA
"People for a Safer Society",NA
"Stacey Guerin for Senate","Stacey Guerin for Maine Senate"
"Crys Matthews",NA
"Fair Williamston","Fair Williamston, PO Box 282, Williamston, MI 48895"
"St. James' Episcopal Church, Dexter, MI",NA
"James Bruney for Livingston County Commissioner","Friends to Elect James Bruney Howell MI"
"Michigan Freedom Fund","the Michigan Freedom Network with Regulated Funds. Not Authorized  By Any Candidate or Candidate Committee. PO Box 14162, Lansing, MI 48901"
"Judge Keith Hunt","The Committee to Re-Elect Judge Keith Hunt 43rd District Court Judge | 670 W. Woodland St., Ferndale, MI 48220"
"Vote Dan O’Neil","Friends of Dan O'Neil PO Box 954 Traverse City, MI 49685"
"Michigan for Vaccine Choice","Michigan for Vaccine Choice"
"James Danley and Associates",NA
"Re-Elect Jose ""Pepe"" Diaz 2018","Jose Pepe Diaz for Miami-Dade County Commissioner, District 12"
"Dave Morgan for State Representative  62nd District","The Committee to Elect Dave Morgan, PO Box 275, Battle Creek, MI  49016 "
"Say Yes to Seniors","Say Yes To Seniors with regulated funds, PO Box 313, Oshtemo, MI 49077."
"Romaine Robert Quinn for Wisconsin","Quinn for Assembly"
"Rep. James Sturch for State Senate, District 19","James Sturch for State Senate."
"Jim Wilfong for State Senate","James Wilfong Senate Campaign, Susan Hamlin Treasurer"
"Marty Quinn","Friends of Marty Quinn Senate 2018"
"Tom James for WY Senate District 13","Tom James for WY Senate District 13"
"Barron County Republican Party","Barron County Republican Party"
"David Bullard for Senate 2018","David Bullard for Senate 2018"
"Stronger Neighborhoods PAC","Stronger Neighborhoods PAC"
"James Ohrenschall","the Committee to Elect James Ohrenschall"
"Professional Staff Congress/CUNY","Professional Staff Congress"
"James Dill for Maine State Senate","the Candidate."
"CT Senate Republican Campaign Committee","Senate Republican Campaign Committee, James Rocco Treasurer"
"Connecticut Values","Connecticut Values. This message was made independent of any candidate or political party. Top donors are the Democratic Legislative Campaign Committee, NEA Advocacy Fund, American Federation of Teachers, AFL-CIO. Additional information about Connecticut Values may be found on the State Elections Enforcement Commission’s Internet web site."
"Jim Nielsen","Taxpayers for Jim Nielsen - Senate 2018"
"Brent Howard","Brent Howard for Senate 2018"
"Connecticut Education Association (CEA)","Connecticut Education Association"
"Bolen for Senate","Bolen for Senate"
"James Skoufis",NA
"Susi Epperson for State Senate, District 19","SUSI EPPERSON FOR STATE SENATE CAMPAIGN"
"WHO is James Skoufis?","New York State SRCC"
"CT Senate Republican Campaign Committee","Senate Republican Campaign Committee, James Rocco Treasurer - Approved by Heather Somers."
"Rep. James Sturch for State Senate, District 19",NA
"James Wood WA State Senate 32nd District","James for State Senate"
"Who is Jim Gaughran?","New York State SRCC"
"James Bradley for US Senate - CA",NA
"Alta Centers","Alta Centers Inc."
"Kate Brophy McGee - State Senate","Kate Brophy McGee AZ - Senate"
"Herecolumbus",NA
"George Thomas for Senate  District 19  Opportunity = Going Forward Together","George Thomas for State Senate"
"James Kitchin","Friends of James Kitchin; Lauren Morgan, Treasurer"
"Friends of Lorraine Inouye","Friends of Lorraine Inouye, 215 Paukaa Dr, Hilo, Hi 96720"
"Bolen for Senate","Bolen For Senate,  Heidi McKinney Treasurer"
"Garlan Gudger Jr.","Garlan Gudger for State Senate 314 2nd Ave SE, Cullman, AL 35055"
"Camera For Senate","Camera for Senate"
"Senator Maralyn Chase","Maralyn Chase for Senate, PO Box 77267 Seattle WA . 98177"
"Stephen Hunter for Village Trustee","Committee to Elect Stephen Hunter"
"Jeff Brandes","Jeff Brandes, Republican, for State Senate"
"Frank Scavo for PA Senate","Friends of Frank Scavo"
"D. Cole Phelps for NC Senate","Committee to Elect D. Cole Phelps"
"Randy Gray for Vermont","Randy Gray 4 Senate"
"California Bail Reform - Less Safe at the Taxpayers Expense","American Bail Coalition"
"Anne Arundel County Republican Party","Authority: Republican State Central Committee of Anne Arundel County, James Appel, Treasurer."
"The Gaspee Project","The Gaspee Project"
"Senator William J. Larkin, Jr.","New York State Senate Republican Campaign Committee"
"Kyle Hilbert for House District 29","Friends of Kyle Hilbert 2018"
"Pittsburgh Lesbian Correspondents","SueCat Social Media"
"Alta Centers",NA
"Carima 4 Senate","Friends of Carima"
"Tony McCombie","McCombie for Illinois"
"Senator Jim Sheehan","Friends of Senator James Sheehan"
"James Leewright for State Senate",NA
"Maryland League of Conservation Voters","Maryland League of Conservation Voters"
"Fighting for our future","Fighting for Our Future. This communication was not expressly authorized or requested by any candidate or by any candidate's political committees or any of its agents."
"James Craig for State Senate","Friends of James Craig"
"Milford Democrats","Milford Democratic Town Committee."
"Jim Beard for Executive Council","Friends of Jim Beard"
"Vote Dave Baker","Committee to Elect Baker"
"Mary Washington for State Senate, 43rd District","People Uniting to Elect Mary Washington, Joseph J.  Palumbo, CPA"
"League of Women Voters of Butte County","Jane Wanderer for the League of Women Voters of Butte County (CA)"
"Jim Beard for Executive Council Dist. 2","Friends of Jim Beard"
"Wisconsin 7th Congressional District Republican Party - GOP","7th District Republican Party of WI"
"Kim Butler for WI Assembly 28","Kim Butler for Wisconsin 28, Kathryn Keinholz, Treasurer"
"Anne Arundel County Republican Party","Authority RSCCAAC, James Appel, Treasurer"
"Nevada Conservation Political Action","Nevada Conservation League Political Action Committee."
"James Leewright for State Senate","Friends of James Leewright"
"League of Women Voters of Andover/North Andover","League of Women Voters of Andover/North Andover "
"AMIBC","RedaJames Corporation  Not Authorized or Affiliated by Any Candidate or Candidates Committee"
"Michigan Environmental Council","Michigan Environmental Council"
"Living in Grace",NA
"Muslim ARC - Muslim Anti-Racism Collaborative","Muslim Anti-Racism Collaborative"
"We Need Driver’s Choice","Detroiters for Change"
"Katy Steele Barone for Kent County Commissioner District 12","Committee To Elect Katy Steele Barone"
"Mayor DeAndre Windom",NA
"James Organ for County Commissioner","The Committee to Elect James Organ"
"Tom Leonard","Tom Leonard for Michigan"
"Matthew Bierlein for State Representative",NA
"James Freed","James Freed"
"Greyhound Adopters for Racing","Greyhound Adopters for Racing"
"Republican Party of Wabasha County MN","the Wabasha County Republicans"
"Republican Party of Jackson County MN","the Republican Party of Jackson County MN"
"Minnesota Values","SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee. "
"6th Congressional District Republican Party of Minnesota","CD6 Republicans"
"Emy for MN House of Representatives","Emy for House 15A Committee"
"Tyrel Clark for House","Tyrel Clark for House, PO Box 92, Eyota, MN 55934"
"Tina Folch for MN House 54B","Tina Folch for Minnesota House, Box 563, Hastings, MN 55033"
"Tennesseans for Quality Early Education","Tennesseans For Quality Early Education PAC"
"State Representative Dennis Smith","Dennis Smith for State House Committee, 13570 Grove Dr #370, Maple Grove, MN 55311"
"Jason Smith for Blaine City Council","Jason Smith for Blaine City Council - 2788 103rd Ct NE Blaine, MN"
"Minnesota Values Project","The DFL House Caucus, 255 E. Plato Blvd, St. Paul, MN 55107."
"Mary Hoffmann Fasbender for Mayor","Mary Fasbender for Hastings Mayor, 521 W. 13th St., Hastings, MN 55033. Copyright 2018."
"Christopher Smith for City Council","Christopher E. Smith for City Council"
"Our Public Lands","The National Wildlife Federation"
"State Representative Jamie Becker-Finn","Prepared by Jamie Becker-Finn for 42B, 1769 Lexington Ave N #151, Roseville, MN 55113"
"Bryan Smith - Maplewood City Councilmember","Bryan Smith"
"BahaiTeachings.org",NA
"Iowa Senate Majority","Iowa Democratic Party - Senate Majority Fund"
"High Ground","High Ground Political Fund. Not authorized by any candidate, candidate's agent or committee."
"Iowa Gun Owners","Iowa Gun Owners"
"Senator Cecile Bledsoe","Cecile Bledsoe for Senate"
"Carrie Smith for State Representative Bangor District 127","committee to elect Carrie Smith"
"Christina Smith","Smith Senate Committee"
"Mississippi for Donald Trump","Mario Barnes"
"Felicia Folarin For County Council At Large","Tanisha Smith, Co-Founder of Trio Marketing"
"Linda Collins-Smith",NA
"Peter Smith Independent for State Senate","Peter Smith | Independent for Colorado D32"
"Peter Smith Independent for SD 32","Peter Smith | Independent for Colorado D32"
"Frank Glidewell for Senate District 8","Frank Glidewell for State Senate"
"Mike Smith for Alabama Senate District 2",NA
"Jeff Smith for State Senate",NA
"Jeff Irwin for State Senate","Jeff Irwin for State Senate"
"Representative Nino Vitale","Friends to Elect Nino Vitale"
"Brian Turner - NC House 116",NA
"The OTAP Show",NA
"Maryland HDCC","By Authority: Maryland House Democratic Caucus Committee; Gail E. Smith, Treasurer. "
"Link & Smith, P.C.",NA
"Coach DAVE Barlavi for Saugus Board Nov. 6","David Barlavi for Saugus School Board 2018"
"Navy Christian Report","S. Daniel Smith, Author"
"Peter Smith Independent for State Senate",NA
"Anna Kaplan for State Senate","Anna Kaplan for New York State Senate"
"Theresa Stegman for Democratic Central Committee","Friends of Theresa Stegman, Paul White, Treasurer"
"Dave Suetholz","Suetholz for Senate. Carol Berry, Treasurer."
"George Heim for State Representative","Committee to Elect Heim, Vicki Pugh, Treasurer"
"Arik Bjorn","Arik Bjorn"
"Cameron Smith","Cameron Smith"
"S. Daniel Smith",NA
"Baron Bruno, California State Senate District 26","BRUNO FOR CA SENATE 26th DISTRICT 2018, Campaign ID# 1404162"
"Ohioans for Payday Loan Reform",NA
"Jesse Salomon","Elect Jesse Salomon "
"Syracuse Divest","Syracuse Divest"
"Lee County (NC) Democratic Party","The Lee County Democratic Party"
"Dayna Smith for SC Senate District 20","Dayna Smith for SC Senate 20"
"Portland Public Schools",NA
"SCV for Bernie","LAW OFFICE OF DAVID BARLAVI"
"Chippewa Valley Votes","Chippewa Valley Votes"
"Ruth Ward for Senate","Ruth Ward for State Senate"
"Simkowski for JP 13","Simkowski for JP 13"
"Jeanie Smith for Kentucky",NA
"Former Mayor & ECHD Candidate Mike Kasperzak","Kasperzak for El Camino Healthcare District 2018"
"Zachary Kovach","Friends of Zachary Kovach"
"Bill Day",NA
"Frank Glidewell for Senate District 8",NA
"VJ Smith for Senate","V.J. Smith for Senate"
"Sierra Club North Star Chapter","Sierra Club North Star Chapter"
"CM Voter Center","Conservation Minnesota Voter Center"
"Minnesota Conservation Federation","the National Wildlife Federation"
"Merrill Anderson for Senator, Minnesota",NA
"PredictIt","PredictIt is a political prediction market, a stock market for politics. A project of Victoria University of Wellington, PredictIt has been established to research the way markets can forecast future events. Our job is to study the wisdom of the crowd, yours is to use your skill and knowledge to get ahead."
"John Kefalas","Kefalas for Larimer County"
"Christian Eriksen for Brooklyn Park City Council","Eriksen for Brooklyn Park Council Committee. 4501 78th Ave N, Brooklyn Park, MN 55443"
"Mississippi Association of Educators","Mississippi Association of Educators "
"Tishomingo County for Chris McDaniel","Tishomingo County For Chris McDaniel"
"Judge Jeff Weill","Judge Jeff Weill"
"Better with Baria Mississippi","Baria for Mississippi"
"Pittman for Pitt County",NA
"Bradley County Education Alliance","BCEA for Bradley County Schools"
"Plant City Main Street",NA
"Dan Q Carr, Jr","Faith First "
"Coalition For a Safe Secure America - Missouri","Coalition for a Safe Secure America"
"America Progress Now","America Progress Now"
"The Bridge Series",NA
"David Wilson for Senate District 15","Authority: Friends of David Wilson, Sharon Bauer, Treasurer"
"Chris Beyer","Beyer For Missouri, Rachel Bauer, Treasurer"
"Greg Razer for Missouri","Razer for Missouri, Matt Dameron, Treasurer"
"John F. Foster for MO 102","Foster A Better Missouri Thomas Henry Payne Sr. Treasurer"
"Windham for MO State House District 85","Friends For Windham, Cherron R. Reynolds, Treasurer"
"Eric Stephenson for Central Committee","Eric Stephenson for Central Committee, Norah Salamone, Treasurer"
"Stars and Stripes Forever PAC","Stars and Stripes Forever PAC.  Not paid or authorized by any candidate or candidate's committee."
"The More Sibyl Podcast",NA
"Beau Gooch For State Representative","Committee to Elect Beau Gooch, Amanda Gooch Treasurer"
"Travis Estes 4 MO","Communities to Elect Travis Estes, Alicia Hernandez, Treasurer"
"Senator Donna Soucy","Donna Soucy for State Senate"
"Fed Up New Yorkers","Neil Fabricant"
"RSCC","Republican Senate Campaign Committee"
"Gary McKechnie for Florida State Senate","Gary McKechnie, Democrat for Florida State Senate, District 12."
"Julia Pulver, RN for Michigan Senate District 15","The Committee to Elect Julia Pulver | 6710 Buckland Avenue | West Bloomfield, MI 48324"
"Friends & Neighbors of NCCF","David L. Friend"
"Boucher For CT","Boucher for CT, Ellen Essman, CPA, Treasurer. Approved by Toni Boucher"
"Rob Johnson for MD State Senate - 10th Legislative District",NA
"Brian Manktelow for NY State Assembly, 130th district",NA
"Rachelle Aud Crowe for Senate","Rachelle Aud Crowe For Senate"
"National Council of Jewish Women (NCJW)","National Council of Jewish Women"
"Dr. Richard Pan","Dr. Richard Pan for Senate 2018 FPPC ID #1374058"
"Don Etheridge for Senate","by Don Etheridge for Senate "
"Arun K  Bhumitra for United States Senate",NA
"Darren Joiner Exploratory Committee","Joiner Senate Exploratory Committee"
"Matt Lesser",NA
"Senator Bill DeSteph","Bill DeSteph for Senate"
"The Market Institute","Market Institute (501(c)(4)"
"The Climate Reality Project Greater Tampa Bay Chapter",NA
"Vote Steve Ruzbacki for NYS Senate 45th District","votesteveforsenate"
"Ron George","Ron George, State Senate; Harold Falcon, Treasurer"
"Family Policy Alliance","Family Policy Alliance"
"Susan Rubio","Susan Rubio for Senate 2018 • FPPC ID #1392890"
"Pam Staneski","Pam For Senate"
"Change The Law Save Thousands on Funerals and Burials",NA
"Greg Abbott","Pol. Ad Texans for Greg Abbott"
"Dave Suetholz for Kentucky Senate","Dave Suetholz for State Senate.  Carol Berry, Treasurer. "
"Timothy Jeffries for Arizona - State Senate LD 23","Timothy Jeffries for Arizona Senate. Approved by Timothy Jeffries for Arizona Senate."
"Recovery PAC","Recovery Advocacy Project "
"Jim Welch for State Senate","Jim Welch for State Senate"
"Johnny Mack Morrow For State Senate","Johnny Mack Morrow For State Senate"
"Schuyler County Democrats","Schuyler County Democrats"
"Massive Fires Damage Lives",NA
"Senator Brian Zehnder","The Senator Brian Zehnder Campaign"
"Senator Bobby Zirkin","Authority, Committee to Elect Bobby Zirkin, Erik Atas, Treasurer"
"Global Rights & Reason Alliance","Global Rights & Reason Alliance"
"Old Gadfly","Old Gadfly"
"Friends & Neighbors of NCCF",NA
"Bill Huff","Huf for VT State Senate Campaign, PO Box 312, Thetford Ctr., VT 05075, Cathy Estes, Treasurer"
"Above Rubies",NA
"Kevin Hensley for House of Representatives",NA
"Blake Morris For  NYS Senate District 17","Blake Morris for State Senate"
"Tuss for Senate","Tuss for Senate, PO Box 1545, Havre, MT  59501.  Democrat.  John Musgrove, Treasurer."
"Mike Haffner","Haffner for Missouri, Martha Gilbert, Treasurer"
"Riggs For Missouri","Riggs For Missouri, Sara North Treasurer"
"Lee Elliott for Circuit Judge","Committee to Elect Elliott, David Carey, Treasurer"
"Trader Rick's",NA
"League of Women Voters of Kansas City, Jackson, Platte & Clay Counties","League of Women Voters of Kansas City, Jackson, Platte & Clay Counties"
"Dearborn Heights 48125 East","Suzanne M. Todd for Dearborn Heights 48125 East"
"Ending Spending Action Fund","ESAFund and not authorized by any candidate or candidate's committee."
"Jason Ellsworth","Jason for Montana - Republican 1073 Golf Course Rd Hamilton MT 59840"
